event_name	diff	MostExtremeBF
gene:ENSG00000130638	0.04,0.02,-0.01,-0.07,0.02	0.28
gene:ENSG00000183530	0.00,-0.04,-0.00,0.02,0.02	0.27
gene:ENSG00000100077	0.02,-0.04,0.02	0.27
gene:ENSG00000099901	-0.00,0.01,-0.02,0.02,-0.06,0.01,0.01,0.02,0.01,0.01	0.26
gene:ENSG00000100401	0.05,-0.04,0.01,-0.05,0.01,0.02,-0.00	0.26
gene:ENSG00000100353	-0.04,0.00,0.06,-0.00,-0.01,0.01,-0.01	0.26
gene:ENSG00000130489	0.01	0.25
gene:ENSG00000184983	0.01,0.03,-0.04	0.25
gene:ENSG00000185651	0.06,-0.06,-0.00	0.24
gene:ENSG00000100221	-0.03,-0.02,0.01,0.02,-0.00,0.02	0.24
gene:ENSG00000100422	-0.01	0.24
gene:ENSG00000239900	-0.00,0.02,-0.02,0.00,0.00,0.01,0.00,-0.01,-0.02,-0.01,0.00,0.00,0.02,-0.01,0.00,0.01,0.00	0.2
gene:ENSG00000100417	-0.04	0.19
gene:ENSG00000100304	0.05	0.19
gene:ENSG00000100345	-0.06,0.05,0.00	0.19
gene:ENSG00000183864	0.06	0.18
gene:ENSG00000183765	-0.00,-0.01,0.00,-0.02,0.03,-0.00,-0.02,-0.01,-0.03,0.00,0.01,0.02,0.02,0.01,-0.01,0.01,-0.00,0.02,-0.02,0.03,-0.02,0.00,0.01,-0.01,0.00	0.16
gene:ENSG00000183741	-0.04	0.15
gene:ENSG00000198911	-0.02,0.03,-0.02,0.01	0.15
gene:ENSG00000184117	-0.00,0.02,-0.02,0.01	0.14
gene:ENSG00000100201	0.02,0.01,-0.02,0.00,-0.00	0.14
gene:ENSG00000100150	0.00,-0.00,-0.00,-0.00,0.01,0.00,0.01,0.02,0.00,0.00,-0.01,0.00,-0.00,0.00,-0.00,0.01,-0.00,0.00,-0.01,0.00,0.01,0.01,0.01,-0.00,-0.00,-0.01,-0.00,0.00,-0.00,-0.00,0.01,-0.00,-0.01,-0.01,-0.00,-0.01,-0.01,-0.00,0.00,-0.00	0.13
gene:ENSG00000100129	0.00,0.00,0.01,-0.02,0.02,-0.01,-0.00,-0.00,0.00	0.13
gene:ENSG00000100292	-0.05	0.12
gene:ENSG00000100412	-0.03	0.1
gene:ENSG00000099942	-0.02	0.08
gene:ENSG00000100316	-0.00,0.01,-0.01,0.00,-0.01,0.00	0.07
gene:ENSG00000250479	-0.01,-0.01,0.02,0.00	0.07
gene:ENSG00000100097	0.00,-0.00,-0.00	0
